window_idx,start_index,coef_cosine_similarity,coef_pearson_similarity,transfer_mse,transfer_mae,random_mse,random_mae,persistence_mse,persistence_mae,transfer_skill,random_skill,retrieved_state_similarity,retrieved_mse,retrieved_mae,retrieved_skill
473,5676,0.7093886486913333,0.6953166948251636,0.06310243310216344,0.21796425288744503,5.385807479553463,2.254178365768198,0.07426944360104504,0.23414565283767708,0.15035807402661705,-71.51713784856845,0.8546374533387646,3.3566805540097993,1.771875809370676,-44.19598358701812
474,5688,0.8508045822726343,0.8433129727954825,0.06011582241240837,0.210223093653906,0.056383668866176934,0.1907210150119845,0.07611253183044037,0.237560159333757,0.21017182103032195,0.25920649976819055,0.8106707564713728,2.71125304065638,1.5937035715021655,-34.6216377967346
475,5700,0.8009531466141446,0.7913875949993581,0.056158070973244954,0.19771295450125215,7.055348720877613,2.453532427364074,0.07766594291431443,0.23655101422168112,0.27692797040780415,-89.8422463712503,0.8292981811298284,2.80668974193914,1.6094793626818127,-35.13797292122807
476,5712,0.8286681083746875,0.8210541139491864,0.06861871686406718,0.219996818470386,0.28681936553198495,0.46847638848030365,0.06695787147757261,0.20428219508725876,-0.024804333677943546,-3.2835794986113687,0.8057992002131494,1.7818017686669307,1.2667504418156974,-25.610788684699173
477,5724,0.8922066255689493,0.8883367931470041,0.05500675110261169,0.19125904075983227,5.772160602525942,2.3510803458675245,0.10411814134800873,0.2592028577127292,0.4716890794395294,-54.43856745610582,0.8637255971321915,1.9945614167288166,1.3629886767922788,-18.156713622673237
478,5736,0.788628106791525,0.7795260427693844,0.05468558037616098,0.1940426750352622,0.06640081680265957,0.21020033881984443,0.10226628573858627,0.2699549609146024,0.4652628676086994,0.35070667402164435,0.7817189173332454,1.8635741517121016,1.30563468500751,-17.222761668256748
479,5748,0.7995104566049607,0.7918274538140375,0.04027266180990522,0.15873905271190258,0.15484709340266414,0.3485729665775805,0.25613115740633224,0.4541030972699536,0.842765471340077,0.3954382786901196,0.7982153291273874,2.4604774999965335,1.5413591003036193,-8.60631859439567
480,5760,0.7937193455082107,0.7848695223752136,0.07358531096127685,0.21689848025637412,0.18452153281519687,0.3742041759935762,0.08711726309682122,0.23933441983412682,0.1553303174883386,-1.118082297995537,0.771344048708626,0.17205363279331784,0.35373441455589977,-0.9749660018829933
481,5772,0.8887128118710268,0.8842367389225367,0.0626747440712009,0.20810418507995534,0.7001932543920152,0.7916187906799084,0.1526655502233817,0.33621576607203946,0.5894637396616682,-3.58645223737435,0.7362664955838181,0.2042489191010355,0.4004608783213299,-0.337884799826657
482,5784,0.8246006155786395,0.8155800427411058,0.0815428090363738,0.22560669086688442,0.07309375271916065,0.2209840633336918,0.12590746221143692,0.28698221962891196,0.3523592040999236,0.4194644905445397,0.7253342158571229,0.27792051667011525,0.4654254161939558,-1.2073395157739117
483,5796,0.8381461106551764,0.830589523164564,0.06957319661953186,0.20045917652785727,0.550515263139574,0.6176554558560169,0.05884218600100302,0.20098346628027794,-0.1823693398873032,-8.355792171456546,0.6873441808938965,4.728932312210987,2.133073598613901,-79.36636015069831
484,5808,0.8157223664661016,0.8071908756422557,0.07483942185640524,0.2119225814562183,0.21895075269922581,0.4074260592818805,0.20390907639023115,0.3886901974038621,0.6329765051106345,-0.073766585456984,0.6762603321193358,2.243832024319724,1.4599032364376086,-10.004081152452423
485,5820,0.8473391291016472,0.8403910970929068,0.07502807939365262,0.21168143034777756,0.09926121663000537,0.26155049621750104,0.048745719987973814,0.18509252973006937,-0.5391726578695113,-1.0363062983682334,0.7002433276342563,1.919003579121554,1.3140780575868316,-38.367632267920065
486,5832,0.8956992246735966,0.8914056515921608,0.09184660924128428,0.24015592885916914,3.0555672086826333,1.5861987319975224,0.08098358264831203,0.22663664294808603,-0.13413862708627255,-36.73069934374312,0.659698646205348,1.7325398550702273,1.2622636780737708,-20.39371707712834
487,5844,0.9191194069414325,0.9161319729386684,0.14658991907428237,0.2999381928167971,0.15962097143490597,0.32711636329075233,0.2578526120315066,0.3821813093485778,0.4314972498460835,0.3809604247274325,0.6937263388997577,2.1496601037849685,1.3958030785987543,-7.33677846754682
488,5856,0.8599927422314838,0.8534353011636356,0.22417513118361865,0.3729590399132465,5.675522026183522,2.2139179429831892,0.28649330502730486,0.4054381893857532,0.21752052404068167,-18.81031293433752,0.8506657494934933,1.0522807331081718,0.8861105463262101,-2.6729679704308693
489,5868,0.852386158178298,0.8409804146329789,0.2719927196555751,0.4146227864080136,0.9323841376900847,0.8393727726310612,0.4810405050214894,0.5820273291579307,0.43457418488402666,-0.9382653393157248,0.7475421642847395,6.871145411484437,2.527963180695247,-13.283922746126096
490,5880,0.8529683226844106,0.8422128769815952,0.2875170921549173,0.4180204823256197,0.151625005306079,0.3174055762610101,0.2073855324825807,0.34350685685482024,-0.3863893431383272,0.2688737565682664,0.8257852509994735,7.075296214764916,2.5977790791630944,-33.116633547517125
491,5892,0.8387747280799736,0.8285874863044213,0.3089240413025915,0.454493666559129,2.6400960132574576,1.527870108922281,0.28783581931738217,0.4408298510030349,-0.07326475917841346,-8.172228875192062,0.7684186707555832,1.2162281453519075,1.0322637508858339,-3.2254231882475803
492,5904,0.7634178172129783,0.7473063912822976,0.33491462458985827,0.4924630725987063,0.0979264606553862,0.2509350628805896,0.15542357538217708,0.3050684930293572,-1.1548508568685523,0.36993818077733054,0.7928562274979001,0.15003839607067357,0.3042545682994733,0.034648407091792066
493,5916,0.7862439346813893,0.7741271407577512,0.34514366459343737,0.5213758902777068,0.30861096281860795,0.48634112191404055,0.2654516558424052,0.4402065699957631,-0.300212889982288,-0.16258820024775344,0.7890358461585941,3.08471802452515,1.718526784337744,-10.620639602852966
494,5928,0.7483328516735526,0.730648848599479,0.2626343684908659,0.43222528830474277,4.512544670646142,2.0760139145751313,0.08496460773226382,0.24689108546138797,-2.0911031722581015,-52.110875117152844,0.8287105349000563,0.4044672671478322,0.6061361643062191,-3.760420579147132
495,5940,0.752053654697863,0.7322742554985,2.801994026206195,1.5158331169801016,3.7497327998616456,1.775191832175999,0.5601819945328604,0.7155694643263956,-4.001935180981311,-5.6937760164686715,0.9083204505813657,4.133436613835991,1.8431107918564387,-6.378738792350674
496,5952,0.8784184277874104,0.8689962280399064,0.06722015416659059,0.22305087005300717,0.8958504552551423,0.9295049217044888,0.10616228090816417,0.2948794124680729,0.36681697499755606,-7.438500450363335,0.8875528715921601,3.171599681106015,1.6291239889601605,-28.875014496435057
497,5964,0.7424745362797106,0.7278749801509585,0.030384701586167472,0.14772251715773013,0.02092932968021789,0.12395769245535133,0.022695079850989158,0.12886643815201976,-0.3388232949902208,0.07780321472163976,0.8643354903145509,0.0242810551226862,0.12771868815897025,-0.0698818987247547
498,5976,0.6897211107854523,0.6715741887936248,0.023763763998841475,0.13416529871011387,0.41370749907922,0.6309937756944263,0.014791102796288617,0.09981802510776742,-0.6066255725573266,-26.97002392431668,0.8136550226270489,0.23903921136026332,0.4613332717852597,-15.16101345872892
499,5988,0.6207826816721957,0.5934888458683291,0.043974967706641443,0.18210329603264266,0.22290049154518907,0.4431786544052379,0.043211042879809834,0.18061667353233876,-0.017678925939289325,-4.158414995101595,0.8148825322941615,0.2857979412707839,0.4800983561317316,-5.614002399009946
